Now,Hex,Flight,Lat,Lon,Alt,Track,Speed,Squawk,Messages,Groundspeed,Rate_of_climb,Category,Time
1692449917.700000,a5b261,,0.000000,0.000000,0,0.000000,0.000000,,13,0.000000,0,,2023-08-19T07:58:37-05:00
1692449917.700000,a2d9a2,FDX420  ,44.713806,-93.088008,8500,154.500000,290.300000,2616,230,290.300000,3008,A5,2023-08-19T07:58:37-05:00
1692449917.700000,a05410,DAL2262 ,44.752762,-92.974287,6825,129.600000,285.500000,2447,398,285.500000,0,A3,2023-08-19T07:58:37-05:00
1692449917.700000,ab2c72,,0.000000,0.000000,0,0.000000,0.000000,0447,12,0.000000,0,,2023-08-19T07:58:37-05:00
1692449917.700000,a68871,N52VA   ,44.853314,-92.869173,2025,44.700000,116.700000,0213,760,116.700000,192,A1,2023-08-19T07:58:37-05:00
1692449917.700000,a4350c,DAL2020 ,44.575012,-92.272470,15475,111.700000,439.000000,2430,1425,439.000000,1920,A3,2023-08-19T07:58:37-05:00
1692449917.700000,a3a990,,0.000000,0.000000,0,0.000000,0.000000,,149,0.000000,0,A3,2023-08-19T07:58:37-05:00
1692449917.700000,a033ae,AAL76   ,44.592361,-93.032488,34000,264.700000,439.900000,1160,1753,439.900000,0,A3,2023-08-19T07:58:37-05:00
1692449917.700000,a30246,,0.000000,0.000000,0,0.000000,0.000000,,2899,0.000000,0,A3,2023-08-19T07:58:37-05:00
1692449917.700000,a3f4d7,,0.000000,0.000000,0,0.000000,0.000000,,2748,0.000000,0,A3,2023-08-19T07:58:37-05:00
1692449947.800000,a15027,EDV5502 ,0.000000,0.000000,3300,127.000000,257.800000,2620,19,257.800000,0,A3,2023-08-19T07:59:07-05:00
1692449947.800000,a07ccf,SCST3   ,44.872086,-93.233414,0,47.800000,12.800000,,16,12.800000,0,C2,2023-08-19T07:59:07-05:00
1692449947.800000,a5b261,,0.000000,0.000000,0,0.000000,0.000000,,13,0.000000,0,,2023-08-19T07:59:07-05:00
1692449947.800000,a2d9a2,FDX420  ,44.680791,-93.071684,9725,164.300000,295.100000,2616,310,295.100000,2944,A5,2023-08-19T07:59:07-05:00
1692449947.800000,a05410,DAL2262 ,44.724271,-92.935091,7650,137.500000,293.000000,2447,524,293.000000,0,A3,2023-08-19T07:59:07-05:00
1692449947.800000,ab2c72,,0.000000,0.000000,0,0.000000,0.000000,0447,12,0.000000,0,,2023-08-19T07:59:07-05:00
1692449947.800000,a68871,N52VA   ,44.864685,-92.852979,2125,44.600000,113.800000,0213,930,113.800000,256,A1,2023-08-19T07:59:07-05:00
1692449947.800000,a4350c,,44.561188,-92.225843,16150,115.300000,437.000000,2430,1444,437.000000,2432,A3,2023-08-19T07:59:07-05:00
1692449947.800000,a033ae,AAL76   ,44.586756,-93.116031,34000,264.500000,441.000000,1160,1879,441.000000,0,A3,2023-08-19T07:59:07-05:00
1692449947.800000,a30246,,0.000000,0.000000,0,0.000000,0.000000,,2899,0.000000,0,A3,2023-08-19T07:59:07-05:00
1692449947.800000,a3f4d7,,0.000000,0.000000,0,0.000000,0.000000,,2748,0.000000,0,A3,2023-08-19T07:59:07-05:00
1692449977.800000,~334ac4,,44.878126,-93.241955,0,352.900000,16.100000,,6,16.100000,0,,2023-08-19T07:59:37-05:00
1692449977.800000,a087f4,,44.875415,-93.240649,0,170.500000,12.200000,,10,12.200000,0,,2023-08-19T07:59:37-05:00
1692449977.800000,~334d43,,44.881129,-93.221590,0,0.000000,0.700000,,5,0.700000,0,,2023-08-19T07:59:37-05:00
1692449977.800000,~334332,,44.880035,-93.211307,0,0.000000,0.000000,,11,0.000000,0,,2023-08-19T07:59:37-05:00
1692449977.800000,~334d4a,,44.891207,-93.211676,0,0.000000,0.700000,,15,0.700000,0,,2023-08-19T07:59:37-05:00
1692449977.800000,a15027,EDV5502 ,0.000000,0.000000,4075,131.700000,284.000000,2620,36,284.000000,0,A3,2023-08-19T07:59:37-05:00
1692449977.800000,a07ccf,SCST3   ,44.873587,-93.231672,0,0.000000,11.800000,,25,11.800000,0,C2,2023-08-19T07:59:37-05:00
1692449977.800000,a5b261,,0.000000,0.000000,0,0.000000,0.000000,,13,0.000000,0,,2023-08-19T07:59:37-05:00
1692449977.800000,a2d9a2,FDX420  ,44.663381,-93.065253,10325,165.300000,299.800000,2616,319,299.800000,2496,A5,2023-08-19T07:59:37-05:00
